"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"208",31105,"Loganlea - Carbrook",30147,40,1392867450,40886,46202.5226390686,3,"Qld","Brisbane","Loganlea QLD 4131, Australia","Brisbane QLD, Australia",28.99,"29.0 km",1600,26.67,0.44,"27 mins","OK","OK",""
"209",31106,"Springwood - Kingston",38079,39,1673085371,39536,43937.2192284461,3,"Qld","Brisbane","Springwood QLD 4127, Australia","Brisbane QLD, Australia",21.22,"21.2 km",1237,20.62,0.34,"21 mins","OK","OK",""
"210",31201,"Bowen Basin - North",18710,39,1218395958,48460,65120.0405130946,3,"Qld","Brisbane","Bowen QLD 4805, Australia","Brisbane QLD, Australia",1139.64,"1,140 km",45989,766.48,12.77,"12 hours 46 mins","OK","OK",""
"211",31202,"Mackay",65723,41,3936070521,48479,59888.783546095,3,"Qld","Brisbane","Mackay QLD 4740, Australia","Brisbane QLD, Australia",952.51,"953 km",38792,646.53,10.78,"10 hours 47 mins","OK","OK",""
"212",31203,"Whitsunday",11319,40,499906474,36546,44165.25081721,3,"Qld","Brisbane","Whitsunday Islands, Queensland, Australia","Brisbane QLD, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK",""
"213",31301,"Bribie - Beachmere",14528,49,577166409,31487,39727.8640556167,3,"Qld","Brisbane","Beachmere QLD 4510, Australia","Brisbane QLD, Australia",57.34,"57.3 km",3193,53.22,0.89,"53 mins","OK","OK",""
"214",31302,"Caboolture",29546,39,1188956316,36228,40240.8554795911,3,"Qld","Brisbane","Caboolture QLD 4510, Australia","Brisbane QLD, Australia",54.4,"54.4 km",2999,49.98,0.83,"50 mins","OK","OK",""
"215",31303,"Caboolture Hinterland",5543,45,216369350,33491,39034.701425221,3,"Qld","Brisbane","Caboolture QLD 4510, Australia","Brisbane QLD, Australia",54.4,"54.4 km",2999,49.98,0.83,"50 mins","OK","OK",""
"216",31304,"Narangba - Burpengary",30499,41,1374211860,39875,45057.6038558641,3,"Qld","Brisbane","Burpengary QLD 4505, Australia","Brisbane QLD, Australia",41.31,"41.3 km",2637,43.95,0.73,"44 mins","OK","OK",""
"217",31305,"Redcliffe",29624,44,1350886014,38805,45601.0671752633,3,"Qld","Brisbane","Redcliffe QLD 4020, Australia","Brisbane QLD, Australia",41.35,"41.3 km",2507,41.78,0.7,"42 mins","OK","OK",""
"218",31401,"The Hills District",48665,42,2741859378,45966,56341.505763896,3,"Qld","Brisbane","Arana Hills QLD 4054, Australia","Brisbane QLD, Australia",12.65,"12.6 km",1387,23.12,0.39,"23 mins","OK","OK",""
"219",31402,"North Lakes",28260,39,1400225601,43967,49547.968895966,3,"Qld","Brisbane","North Lakes QLD 4509, Australia","Brisbane QLD, Australia",31.06,"31.1 km",2182,36.37,0.61,"36 mins","OK","OK",""
"220",31403,"Strathpine",20150,39,910547272,41810,45188.4502233251,3,"Qld","Brisbane","Strathpine QLD 4500, Australia","Brisbane QLD, Australia",25.37,"25.4 km",2076,34.6,0.58,"35 mins","OK","OK",""
"221",31501,"Far North",10576,41,463382625,33265,43814.5447239032,3,"Qld","Brisbane","North Queensland, QLD, Australia","Brisbane QLD, Australia",1540.91,"1,541 km",60994,1016.57,16.94,"16 hours 57 mins","OK","OK",""
"222",31502,"Outback - North",16177,37,948263305,50708,58617.9949928911,3,"Qld","Brisbane","815 Zillmere Rd, Aspley QLD 4034, Australia","Brisbane QLD, Australia",16.79,"16.8 km",1518,25.3,0.42,"25 mins","OK","OK",""
"223",31503,"Outback - South",10677,43,471484009,38243,44158.8469607568,3,"Qld","Brisbane","815 Zillmere Rd, Aspley QLD 4034, Australia","Brisbane QLD, Australia",16.79,"16.8 km",1518,25.3,0.42,"25 mins","OK","OK",""
"224",31601,"Buderim",26459,44,1234846357,35673,46670.1824331985,3,"Qld","Brisbane","Buderim QLD 4556, Australia","Brisbane QLD, Australia",95.06,"95.1 km",4582,76.37,1.27,"1 hour 16 mins","OK","OK",""
"225",31602,"Caloundra",38833,45,1687175288,34320,43446.9468750805,3,"Qld","Brisbane","Caloundra QLD 4551, Australia","Brisbane QLD, Australia",94.48,"94.5 km",4629,77.15,1.29,"1 hour 17 mins","OK","OK",""
"226",31603,"Maroochy",30735,42,1307146961,34334,42529.590401822,3,"Qld","Brisbane","Maroochydore QLD 4558, Australia","Brisbane QLD, Australia",104.54,"105 km",5214,86.9,1.45,"1 hour 27 mins","OK","OK",""
"227",31605,"Noosa",21084,47,895766906,31525,42485.6244545627,3,"Qld","Brisbane","Noosa, QLD, Australia","Brisbane QLD, Australia",149.49,"149 km",6774,112.9,1.88,"1 hour 53 mins","OK","OK",""
"228",31606,"Sunshine Coast Hinterland",25971,47,1051377718,31770,40482.7583843518,3,"Qld","Brisbane","Hinterland Dr, Little Mountain QLD 4551, Australia","Brisbane QLD, Australia",90.68,"90.7 km",4451,74.18,1.24,"1 hour 14 mins","OK","OK",""
"229",31607,"Nambour",20645,44,849934005,34427,41169,3,"Qld","Brisbane","Nambour QLD 4560, Australia","Brisbane QLD, Australia",106.95,"107 km",5017,83.62,1.39,"1 hour 24 mins","OK","OK",""
"230",31608,"Noosa Hinterland",11485,48,470375601,31201,40955.6465824989,3,"Qld","Brisbane","5 Ashdown Ct, Tinbeerwah QLD 4563, Australia","Brisbane QLD, Australia",130.41,"130 km",5914,98.57,1.64,"1 hour 39 mins","OK","OK",""
"231",31701,"Toowoomba",76823,42,3499799638,38668,45556.6645145334,3,"Qld","Brisbane","Toowoomba QLD, Australia","Brisbane QLD, Australia",125.01,"125 km",5891,98.18,1.64,"1 hour 38 mins","OK","OK",""
"232",31801,"Charters Towers - Ayr - Ingham",22207,45,998768419,38025,44975.3869950916,3,"Qld","Brisbane","Charters Towers QLD 4820, Australia","Brisbane QLD, Australia",1349.47,"1,349 km",52325,872.09,14.53,"14 hours 32 mins","OK","OK",""
"233",31802,"Townsville",99703,39,5304759335,46123,53205.6140236502,3,"Qld","Brisbane","Townsville City QLD 4810, Australia","Brisbane QLD, Australia",1337.35,"1,337 km",53910,898.5,14.98,"14 hours 59 mins","OK","OK",""
"234",31901,"Bundaberg",41964,44,1703633783,33413,40597.5069821752,3,"Qld","Brisbane","Bundaberg Central QLD 4670, Australia","Brisbane QLD, Australia",362.21,"362 km",15033,250.55,4.18,"4 hours 11 mins","OK","OK",""
"235",31902,"Burnett",22812,45,808558391,28907,35444.4323601613,3,"Qld","Brisbane","South Burnett, QLD, Australia","Brisbane QLD, Australia",253.9,"254 km",12064,201.07,3.35,"3 hours 21 mins","OK","OK",""
"236",31903,"Gympie - Cooloola",22214,46,816641485,30722,36762.4689385072,3,"Qld","Brisbane","Cooloola QLD 4580, Australia","Brisbane QLD, Australia",227.27,"227 km",9958,165.97,2.77,"2 hours 46 mins","OK","OK",""
"237",31904,"Hervey Bay",24079,46,939390926,31310,39012.871215582,3,"Qld","Brisbane","Hervey Bay QLD 4655, Australia","Brisbane QLD, Australia",288.5,"289 km",12191,203.18,3.39,"3 hours 23 mins","OK","OK",""
"238",31905,"Maryborough",19114,46,751300111,34059,39306.2734644763,3,"Qld","Brisbane","Maryborough QLD 4650, Australia","Brisbane QLD, Australia",258.84,"259 km",10889,181.48,3.02,"3 hours 1 min","OK","OK",""
"239",40101,"Adelaide City",12227,37,789699478,42335,64586.5280117772,4,"SA","Adelaide","Adelaide SA, Australia","Adelaide SA, Australia",0,"1 m",0,0,0,"1 min","OK","OK",""
"240",40102,"Adelaide Hills",40898,45,2181888060,41428,53349.5051102743,4,"SA","Adelaide","Adelaide Hills, SA, Australia","Adelaide SA, Australia",31.09,"31.1 km",2651,44.18,0.74,"44 mins","OK","OK",""
"241",40103,"Burnside",27381,49,2055188662,47878,75058.9336401154,4,"SA","Adelaide","Burnside SA 5066, Australia","Adelaide SA, Australia",7.34,"7.3 km",906,15.1,0.25,"15 mins","OK","OK",""
"242",40104,"Campbelltown (SA)",27188,43,1267016290,39285,46602.0409739591,4,"SA","Adelaide","Campbelltown SA 5074, Australia","Adelaide SA, Australia",8.83,"8.8 km",1100,18.33,0.31,"18 mins","OK","OK",""
"243",40105,"Norwood - Payneham - St Peters",20700,42,1244491023,43557,60120.3392753623,4,"SA","Adelaide","Norwood Payneham and St Peters, SA, Australia","Adelaide SA, Australia",4.63,"4.6 km",723,12.05,0.2,"12 mins","OK","OK",""
"244",40106,"Prospect - Walkerville",16169,42,1028751380,45693,63624.923000804,4,"SA","Adelaide","Walkerville SA 5081, Australia","Adelaide SA, Australia",5.2,"5.2 km",860,14.33,0.24,"14 mins","OK","OK",""
"245",40107,"Unley",22838,44,1593245268,48213,69762.9069095367,4,"SA","Adelaide","Unley SA 5061, Australia","Adelaide SA, Australia",2.56,"2.6 km",449,7.48,0.12,"7 mins","OK","OK",""
"246",40201,"Gawler - Two Wells",17230,43,783071105,40429,45448.1198491004,4,"SA","Adelaide","Gawler Rd, Two Wells SA 5501, Australia","Adelaide SA, Australia",40.48,"40.5 km",2674,44.57,0.74,"45 mins","OK","OK",""
"247",40202,"Playford",35457,39,1431390059,38090,40369.7452971205,4,"SA","Adelaide","Playford, SA, Australia","Adelaide SA, Australia",36.27,"36.3 km",2497,41.62,0.69,"42 mins","OK","OK",""
"248",40203,"Port Adelaide - East",30634,38,1322651595,39058,43175.9350721421,4,"SA","Adelaide","Port Adelaide SA 5015, Australia","Adelaide SA, Australia",14.09,"14.1 km",1674,27.9,0.47,"28 mins","OK","OK",""
"249",40204,"Salisbury",64752,39,2737391514,39518,42275.0110266864,4,"SA","Adelaide","Salisbury SA 5108, Australia","Adelaide SA, Australia",20.24,"20.2 km",1995,33.25,0.55,"33 mins","OK","OK",""
"250",40205,"Tea Tree Gully",54107,43,2546480931,42111,47063.7982331306,4,"SA","Adelaide","Tea Tree Gully SA 5091, Australia","Adelaide SA, Australia",18.01,"18.0 km",1775,29.58,0.49,"30 mins","OK","OK",""
"251",40301,"Holdfast Bay",20969,47,1233606173,43836,58829.9953741237,4,"SA","Adelaide","Holdfast Bay, SA, Australia","Adelaide SA, Australia",12.39,"12.4 km",1323,22.05,0.37,"22 mins","OK","OK",""
"252",40302,"Marion",47907,42,2186807415,40708,45646.9287369278,4,"SA","Adelaide","Marion SA 5043, Australia","Adelaide SA, Australia",10.83,"10.8 km",1230,20.5,0.34,"21 mins","OK","OK",""
"253",40303,"Mitcham",37773,46,2163929792,43533,57287.7397082572,4,"SA","Adelaide","Mitcham SA 5062, Australia","Adelaide SA, Australia",8.44,"8.4 km",987,16.45,0.27,"16 mins","OK","OK",""
