"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"323","East Arnhem","East Arnhem NT 0822, Australia","NT",1765.9,71089.5254
"324","Katherine","Katherine NT 0850, Australia","NT",197.23,56443.3379
"325","Belconnen","Belconnen, ACT, Australia","ACT",17.58,64247.9425
"326","Canberra East","Canberra ACT 2601, Australia","ACT",0,59305.6214
"327","Gungahlin","Gungahlin, ACT, Australia","ACT",23.18,68146.8971
"328","North Canberra","Canberra ACT, Australia","ACT",10.13,70536.039
"329","South Canberra","Canberra ACT, Australia","ACT",10.13,99187.8874
"330","Tuggeranong","Tuggeranong, ACT, Australia","ACT",22.62,66006.6009
"331","Weston Creek","Weston Creek, Canberra ACT 2611, Australia","ACT",16.08,70712.3512
"332","Woden Valley","Woden Valley, ACT, Australia","ACT",14.6,76894.4372
"333","Urriarra - Namadgi","","ACT",NA,63234.7053
