"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"63","Canada Bay","Canada Bay NSW 2046, Australia","NSW",19.47,76939.0732
"64","Leichhardt","Leichhardt NSW 2040, Australia","NSW",12.73,96274.2725
"65","Strathfield - Burwood - Ashfield","Strathfield NSW 2135, Australia","NSW",27.52,60213.964
"66","Chatswood - Lane Cove","Chatswood NSW 2067, Australia","NSW",14.87,97674.727
"67","Hornsby","Hornsby NSW 2077, Australia","NSW",34.35,63781.4963
"68","Ku-ring-gai","Ku-Ring-Gai, NSW, Australia","NSW",21.75,105565.2559
"69","North Sydney - Mosman","Mosman NSW 2088, Australia","NSW",15.78,119992.727
"70","Manly","Manly NSW 2095, Australia","NSW",33.23,98626.5897
"71","Pittwater","Pittwater, NSW, Australia","NSW",65.27,79000.1405
"72","Warringah","Warringah, NSW, Australia","NSW",45.68,71128.5819
"73","Camden","Camden NSW 2570, Australia","NSW",59.45,61183.6811
"74","Campbelltown (NSW)","Campbelltown NSW 2560, Australia","NSW",52.17,51981.9697
"75","Wollondilly","Wollondilly, NSW, Australia","NSW",85.63,57381.8098
"76","Blue Mountains","Blue Mountains, New South Wales, Australia","NSW",58.7,56781.4556
"77","Penrith","Penrith NSW 2750, Australia","NSW",56.42,56527.0304
"78","Richmond - Windsor","Hawkesbury, NSW, Australia","NSW",157.72,53412.5535
"79","St Marys","St Marys NSW 2760, Australia","NSW",51.47,51773.2964
"80","Auburn","Auburn NSW 2144, Australia","NSW",36.23,46223.9257
"81","Carlingford","Carlingford NSW 2118, Australia","NSW",26.93,57530.2245
"82","Merrylands - Guildford","Merrylands Rd, New South Wales, Australia","NSW",34.58,47864.2987
"83","Parramatta","Parramatta NSW 2150, Australia","NSW",34.73,54117.8023
"84","Pennant Hills - Epping","Pennant Hills Rd, New South Wales, Australia","NSW",27.9,72580.3678
"85","Ryde - Hunters Hill","Hunters Hill NSW 2110, Australia","NSW",15.4,70791.5801
