"","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message","input_url"
"258","Barossa Valley, Tanunda SA 5352, Australia","Adelaide SA, Australia",72.26,"72.3 km",3967,66.12,1.1,"1 hour 6 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Barossa%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"259","South Australia, Australia","Adelaide SA, Australia",659.45,"659 km",41733,695.55,11.59,"11 hours 36 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lower%20North%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"260","85 Ellen St, Port Pirie SA 5540, Australia","Adelaide SA, Australia",224.69,"225 km",9528,158.8,2.65,"2 hours 39 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Mid%20North%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"261","Yorke Peninsula, SA, Australia","Adelaide SA, Australia",188.94,"189 km",8338,138.97,2.32,"2 hours 19 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Yorke%20Peninsula%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"262","Eyre Peninsula, Cummins SA 5631, Australia","Adelaide SA, Australia",633.84,"634 km",24741,412.35,6.87,"6 hours 52 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Eyre%20Peninsula%20and%20South%20West%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"263","4/34 Mileham St, Windsor NSW 2756, Australia","Adelaide SA, Australia",1376.88,"1,377 km",51677,861.29,14.35,"14 hours 21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Outback%20-%20North%20and%20East%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"264","Kangaroo Island, South Australia, Australia","Adelaide SA, Australia",209.85,"210 km",14016,233.6,3.89,"3 hours 54 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Fleurieu%20-%20Kangaroo%20Island%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"265","Limestone Coast, SA, Australia","Adelaide SA, Australia",306.09,"306 km",14175,236.25,3.94,"3 hours 56 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Limestone%20Coast%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"266","Mallee St & Murray St, Tailem Bend SA 5260, Australia","Adelaide SA, Australia",96.44,"96.4 km",4216,70.27,1.17,"1 hour 10 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Murray%20and%20Mallee%2c%20SA%2c%20Australia&destinations=Adelaide%2c%20SA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"267","17 Foreshore Parade, Busselton WA 6280, Australia","Perth WA, Australia",223.99,"224 km",9014,150.23,2.5,"2 hours 30 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Augusta%20-%20Margaret%20River%20-%20Busselton%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"268","Bunbury WA 6230, Australia","Perth WA, Australia",169.44,"169 km",6938,115.63,1.93,"1 hour 56 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bunbury%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"269","Manjimup WA 6258, Australia","Perth WA, Australia",293.38,"293 km",11959,199.32,3.32,"3 hours 19 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Manjimup%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"270","Mandurah WA, Australia","Perth WA, Australia",71.23,"71.2 km",3225,53.75,0.9,"54 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Mandurah%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"271","Claremont WA 6010, Australia","Perth WA, Australia",9.4,"9.4 km",1083,18.05,0.3,"18 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Cottesloe%20-%20Claremont%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"272","Perth, WA, Australia","Perth WA, Australia",0.34,"0.3 km",136,2.27,0.04,"2 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Perth%20City%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"273","Bassendean WA 6054, Australia","Perth WA, Australia",10.7,"10.7 km",1152,19.2,0.32,"19 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bayswater%20-%20Bassendean%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"274","Mundaring WA 6073, Australia","Perth WA, Australia",35,"35.0 km",2522,42.03,0.7,"42 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Mundaring%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"275","Swan, WA, Australia","Perth WA, Australia",39.03,"39.0 km",3810,63.5,1.06,"1 hour 4 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Swan%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"276","Joondalup WA 6027, Australia","Perth WA, Australia",26.65,"26.7 km",1437,23.95,0.4,"24 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Joondalup%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"277","Stirling WA 6021, Australia","Perth WA, Australia",10.28,"10.3 km",747,12.45,0.21,"12 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Stirling%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"278","Wanneroo WA 6065, Australia","Perth WA, Australia",31.05,"31.0 km",1754,29.23,0.49,"29 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wanneroo%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"279","Armadale WA 6112, Australia","Perth WA, Australia",37.97,"38.0 km",2339,38.98,0.65,"39 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Armadale%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"280","Victoria Park WA 6100, Australia","Perth WA, Australia",5.31,"5.3 km",880,14.67,0.24,"15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Belmont%20-%20Victoria%20Park%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"281","Canning, WA, Australia","Perth WA, Australia",19.47,"19.5 km",1476,24.6,0.41,"25 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Canning%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"282","Gosnells WA 6110, Australia","Perth WA, Australia",24.72,"24.7 km",1996,33.27,0.55,"33 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Gosnells%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"283","Kalamunda WA 6076, Australia","Perth WA, Australia",28.11,"28.1 km",1993,33.22,0.55,"33 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kalamunda%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"284","Serpentine-Jarrahdale, WA, Australia","Perth WA, Australia",64.04,"64.0 km",3001,50.02,0.83,"50 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Serpentine%20-%20Jarrahdale%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"285","South Perth WA 6151, Australia","Perth WA, Australia",6.36,"6.4 km",834,13.9,0.23,"14 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=South%20Perth%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"286","Cockburn, WA, Australia","Perth WA, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Cockburn%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"287","Fremantle WA 6160, Australia","Perth WA, Australia",23.71,"23.7 km",1938,32.3,0.54,"32 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Fremantle%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"288","Kwinana, WA, Australia","Perth WA, Australia",36.82,"36.8 km",1972,32.87,0.55,"33 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kwinana%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"289","Melville WA 6156, Australia","Perth WA, Australia",15.41,"15.4 km",1371,22.85,0.38,"23 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Melville%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"290","Rockingham WA 6168, Australia","Perth WA, Australia",48.06,"48.1 km",2616,43.6,0.73,"44 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Rockingham%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"291","Albany WA 6330, Australia","Perth WA, Australia",414.43,"414 km",16546,275.77,4.6,"4 hours 36 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Albany%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"292","L1/298 Fitzgerald Street, Northam WA 6401, Australia","Perth WA, Australia",96.2,"96.2 km",4900,81.67,1.36,"1 hour 22 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wheat%20Belt%20-%20North%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"293","Wheat St, Casino NSW 2470, Australia","Perth WA, Australia",4233.61,"4,234 km",162304,2705.07,45.08,"1 day 21 hours","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wheat%20Belt%20-%20South%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"294","Kimberley, WA, Australia","Perth WA, Australia",2694.36,"2,694 km",135561,2259.35,37.66,"1 day 14 hours","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kimberley%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"295","East Pilbara, WA, Australia","Perth WA, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=East%20Pilbara%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"296","Pilbara, WA, Australia","Perth WA, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=West%20Pilbara%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"297","Esperance WA 6450, Australia","Perth WA, Australia",714.19,"714 km",26873,447.88,7.46,"7 hours 28 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Esperance%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"298","Gascoyne, WA, Australia","Perth WA, Australia",1124.44,"1,124 km",53801,896.69,14.94,"14 hours 57 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Gascoyne%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"299","5/50 Colin St, West Perth WA 6005, Australia","Perth WA, Australia",2.33,"2.3 km",449,7.48,0.12,"7 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Goldfields%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"300","2, Foreshore Business Centre, 209 Foreshore Dr, Geraldton WA 6530, Australia","Perth WA, Australia",415.06,"415 km",16187,269.78,4.5,"4 hours 30 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Mid%20West%2c%20WA%2c%20Australia&destinations=Perth%2c%20WA%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"301","Brighton TAS 7030, Australia","Hobart TAS 7000, Australia",25.52,"25.5 km",1630,27.17,0.45,"27 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Brighton%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"302","Hobart TAS 7000, Australia","Hobart TAS 7000, Australia",0,"1 m",0,0,0,"1 min","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hobart%20-%20North%20East%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"303","North Hobart TAS 7000, Australia","Hobart TAS 7000, Australia",1.56,"1.6 km",313,5.22,0.09,"5 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hobart%20-%20North%20West%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"304","Hobart TAS 7000, Australia","Hobart TAS 7000, Australia",0,"1 m",0,0,0,"1 min","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hobart%20-%20South%20and%20West%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"305","374 Murray St, North Hobart TAS 7000, Australia","Hobart TAS 7000, Australia",1.51,"1.5 km",270,4.5,0.08,"5 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hobart%20Inner%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"306","Dodges Ferry TAS 7173, Australia","Hobart TAS 7000, Australia",37.18,"37.2 km",2088,34.8,0.58,"35 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Sorell%20-%20Dodges%20Ferry%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"307","Launceston TAS 7250, Australia","Hobart TAS 7000, Australia",200.1,"200 km",8747,145.78,2.43,"2 hours 26 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Launceston%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"308","Valley Rd, Sidmouth TAS 7270, Australia","Hobart TAS 7000, Australia",237.68,"238 km",10645,177.42,2.96,"2 hours 57 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Meander%20Valley%20-%20West%20Tamar%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"309","North East Isle, Tasmania, Australia","Hobart TAS 7000, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=North%20East%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"310","Central Highlands, TAS, Australia","Hobart TAS 7000, Australia",102.19,"102 km",5043,84.05,1.4,"1 hour 24 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Central%20Highlands%20%28Tas.%29%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"311","Bruny Island, Tasmania, Australia","Hobart TAS 7000, Australia",83.38,"83.4 km",6571,109.52,1.83,"1 hour 50 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Huon%20-%20Bruny%20Island%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"312","South East Cape, Tasmania, Australia","Hobart TAS 7000, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=South%20East%20Coast%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"313","57 Water St, Ulverstone TAS 7315, Australia","Hobart TAS 7000, Australia",296.68,"297 km",12146,202.43,3.37,"3 hours 22 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Burnie%20-%20Ulverstone%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"314","Devonport TAS 7310, Australia","Hobart TAS 7000, Australia",281.51,"282 km",11627,193.78,3.23,"3 hours 14 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Devonport%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"315","West Coast, TAS, Australia","Hobart TAS 7000, Australia",310.66,"311 km",18816,313.6,5.23,"5 hours 14 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=West%20Coast%2c%20Tas%2c%20Australia&destinations=Hobart%2c%20Tas%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"316","Darwin City NT 0800, Australia","Darwin NT, Australia",0,"1 m",0,0,0,"1 min","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Darwin%20City%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"317","","Darwin NT, Australia",NA,NA,NA,NA,NA,NA,"NOT_FOUND","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Darwin%20Suburbs%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"318","Litchfield National Park, Litchfield Park Road, Litchfield Park NT 0822, Australia","Darwin NT, Australia",115.79,"116 km",4844,80.73,1.35,"1 hour 21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Litchfield%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"319","Palmerston City NT 0830, Australia","Darwin NT, Australia",23.21,"23.2 km",1252,20.87,0.35,"21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Palmerston%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"320","Alice Springs NT 0870, Australia","Darwin NT, Australia",1496.53,"1,497 km",60646,1010.77,16.85,"16 hours 51 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Alice%20Springs%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"321","Barkly, NT, Australia","Darwin NT, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Barkly%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"322","","Darwin NT, Australia",NA,NA,NA,NA,NA,NA,"NOT_FOUND","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Daly%20-%20Tiwi%20-%20West%20Arnhem%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"323","East Arnhem NT 0822, Australia","Darwin NT, Australia",1053.68,"1,054 km",105954,1765.9,29.43,"1 day 5 hours","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=East%20Arnhem%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"324","Katherine NT 0850, Australia","Darwin NT, Australia",317.48,"317 km",11834,197.23,3.29,"3 hours 17 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Katherine%2c%20NT%2c%20Australia&destinations=Darwin%2c%20NT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"325","Belconnen, ACT, Australia","Canberra ACT 2601, Australia",16.32,"16.3 km",1055,17.58,0.29,"18 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Belconnen%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"326","Canberra ACT 2601, Australia","Canberra ACT 2601, Australia",0,"1 m",0,0,0,"1 min","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Canberra%20East%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"327","Gungahlin, ACT, Australia","Canberra ACT 2601, Australia",15.09,"15.1 km",1391,23.18,0.39,"23 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Gungahlin%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"328","Canberra ACT, Australia","Canberra ACT 2601, Australia",5.37,"5.4 km",608,10.13,0.17,"10 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=North%20Canberra%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"329","Canberra ACT, Australia","Canberra ACT 2601, Australia",5.37,"5.4 km",608,10.13,0.17,"10 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=South%20Canberra%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"330","Tuggeranong, ACT, Australia","Canberra ACT 2601, Australia",23.94,"23.9 km",1357,22.62,0.38,"23 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Tuggeranong%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"331","Weston Creek, Canberra ACT 2611, Australia","Canberra ACT 2601, Australia",15.27,"15.3 km",965,16.08,0.27,"16 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Weston%20Creek%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"332","Woden Valley, ACT, Australia","Canberra ACT 2601, Australia",11.41,"11.4 km",876,14.6,0.24,"15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Woden%20Valley%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"333","","Canberra ACT 2601, Australia",NA,NA,NA,NA,NA,NA,"NOT_FOUND","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Urriarra%20-%20Namadgi%2c%20ACT%2c%20Australia&destinations=Canberra%2c%20ACT%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
