"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"108",20601,"Brunswick - Coburg",45488,36,2360667469,43362,51896.4885024622,2,"Vic","Melbourne","Brunswick VIC 3056, Australia","Melbourne VIC, Australia",5.69,"5.7 km",1204,20.07,0.33,"20 mins","OK","OK",""
"109",20602,"Darebin - South",27831,38,1632007555,46619,58639.9178973088,2,"Vic","Melbourne","Darebin, VIC, Australia","Melbourne VIC, Australia",12.44,"12.4 km",2020,33.67,0.56,"34 mins","OK","OK",""
"110",20603,"Essendon",35742,39,2256233206,48285,63125.5443455878,2,"Vic","Melbourne","Essendon VIC 3040, Australia","Melbourne VIC, Australia",12.15,"12.2 km",1332,22.2,0.37,"22 mins","OK","OK",""
"111",20604,"Melbourne City",54338,31,3658239454,44625,67323.7780926792,2,"Vic","Melbourne","Melbourne VIC 3004, Australia","Melbourne VIC, Australia",0,"2 m",1,0.02,0,"1 min","OK","OK",""
"112",20605,"Port Phillip",59485,36,4480023132,52862,75313.4930150458,2,"Vic","Melbourne","Port Phillip, VIC, Australia","Melbourne VIC, Australia",5.1,"5.1 km",986,16.43,0.27,"16 mins","OK","OK",""
"113",20606,"Stonnington - West",36566,37,3573411255,53796,97724.9700541487,2,"Vic","Melbourne","Stonnington, VIC, Australia","Melbourne VIC, Australia",14.92,"14.9 km",1413,23.55,0.39,"24 mins","OK","OK",""
"114",20607,"Yarra",46772,35,3122725561,50277,66764.849931583,2,"Vic","Melbourne","Yarra, VIC, Australia","Melbourne VIC, Australia",3.79,"3.8 km",841,14.02,0.23,"14 mins","OK","OK",""
"115",20701,"Boroondara",100523,44,8328365638,49346,82850.3490544453,2,"Vic","Melbourne","Boroondara, VIC, Australia","Melbourne VIC, Australia",14.71,"14.7 km",1549,25.82,0.43,"26 mins","OK","OK",""
"116",20702,"Manningham - West",51633,46,2792798460,38775,54089.4090988321,2,"Vic","Melbourne","Manningham, VIC, Australia","Melbourne VIC, Australia",23.66,"23.7 km",1933,32.22,0.54,"32 mins","OK","OK",""
"117",20703,"Whitehorse - West",53621,43,2912557734,39933,54317.482590776,2,"Vic","Melbourne","Whitehorse, VIC, Australia","Melbourne VIC, Australia",23.99,"24.0 km",1925,32.08,0.53,"32 mins","OK","OK",""
"118",20801,"Bayside",56238,47,4773861633,49637,84886.7604288915,2,"Vic","Melbourne","Bayside, VIC, Australia","Melbourne VIC, Australia",16.81,"16.8 km",1967,32.78,0.55,"33 mins","OK","OK",""
"119",20802,"Glen Eira",82197,41,4988621480,44482,60691.040792243,2,"Vic","Melbourne","Glen Eira, VIC, Australia","Melbourne VIC, Australia",18.83,"18.8 km",1889,31.48,0.52,"31 mins","OK","OK",""
"120",20803,"Kingston",63533,42,3378805588,43571,53181.8989816316,2,"Vic","Melbourne","Kingston, VIC, Australia","Melbourne VIC, Australia",31.4,"31.4 km",2514,41.9,0.7,"42 mins","OK","OK",""
"121",20804,"Stonnington - East",24655,42,2153694394,50000,87353.2506185358,2,"Vic","Melbourne","Stonnington, VIC, Australia","Melbourne VIC, Australia",14.92,"14.9 km",1413,23.55,0.39,"24 mins","OK","OK",""
"122",20901,"Banyule",68775,42,3847501843,44071,55943.3201454017,2,"Vic","Melbourne","Banyule, VIC, Australia","Melbourne VIC, Australia",17.81,"17.8 km",1845,30.75,0.51,"31 mins","OK","OK",""
"123",20902,"Darebin - North",44063,38,1991502650,38652,45196.7103919388,2,"Vic","Melbourne","Darebin, VIC, Australia","Melbourne VIC, Australia",12.44,"12.4 km",2020,33.67,0.56,"34 mins","OK","OK",""
"124",20903,"Nillumbik - Kinglake",39536,44,2311673645,44781,58470.094217928,2,"Vic","Melbourne","Kinglake VIC 3763, Australia","Melbourne VIC, Australia",59.08,"59.1 km",4567,76.12,1.27,"1 hour 16 mins","OK","OK",""
"125",20904,"Whittlesea - Wallan",87326,39,3968618607,40813,45446.0138675767,2,"Vic","Melbourne","Wallan Rd, Whittlesea VIC 3757, Australia","Melbourne VIC, Australia",69.26,"69.3 km",3579,59.65,0.99,"1 hour 0 mins","OK","OK",""
"126",21001,"Keilor",31478,43,1651343220,42957,52460.233178728,2,"Vic","Melbourne","Keilor VIC 3036, Australia","Melbourne VIC, Australia",20.71,"20.7 km",1437,23.95,0.4,"24 mins","OK","OK",""
"127",21002,"Macedon Ranges",15508,45,845430394,42928,54515.7592210472,2,"Vic","Melbourne","Macedon Ranges, VIC, Australia","Melbourne VIC, Australia",68.7,"68.7 km",3747,62.45,1.04,"1 hour 2 mins","OK","OK",""
"128",21003,"Moreland - North",32871,38,1488199370,39175,45273.9305162605,2,"Vic","Melbourne","Moreland, VIC, Australia","Melbourne VIC, Australia",13.31,"13.3 km",1451,24.18,0.4,"24 mins","OK","OK",""
"129",21004,"Sunbury",21314,41,1068787429,43886,50144.8545087736,2,"Vic","Melbourne","Sunbury VIC 3429, Australia","Melbourne VIC, Australia",40.97,"41.0 km",2363,39.38,0.66,"39 mins","OK","OK",""
"130",21005,"Tullamarine - Broadmeadows",61237,39,2659516517,38807,43429.8956023319,2,"Vic","Melbourne","Broadmeadows VIC 3047, Australia","Melbourne VIC, Australia",17.88,"17.9 km",1635,27.25,0.45,"27 mins","OK","OK",""
"131",21101,"Knox",88374,42,4281335414,41572,48445.6448050332,2,"Vic","Melbourne","Knox, VIC, Australia","Melbourne VIC, Australia",35.24,"35.2 km",2336,38.93,0.65,"39 mins","OK","OK",""
"132",21102,"Manningham - East",16161,46,1086874071,44121,67252.8971598292,2,"Vic","Melbourne","Manningham, VIC, Australia","Melbourne VIC, Australia",23.66,"23.7 km",1933,32.22,0.54,"32 mins","OK","OK",""
"133",21103,"Maroondah",59796,42,2942300568,41719,49205.6419827413,2,"Vic","Melbourne","Maroondah, VIC, Australia","Melbourne VIC, Australia",30.15,"30.1 km",2088,34.8,0.58,"35 mins","OK","OK",""
"134",21104,"Whitehorse - East",33756,43,1705603861,41299,50527.4280424221,2,"Vic","Melbourne","Whitehorse, VIC, Australia","Melbourne VIC, Australia",23.99,"24.0 km",1925,32.08,0.53,"32 mins","OK","OK",""
"135",21105,"Yarra Ranges",83248,43,3914880477,39329,47026.7210863925,2,"Vic","Melbourne","Yarra Ranges, VIC, Australia","Melbourne VIC, Australia",78.85,"78.9 km",5158,85.97,1.43,"1 hour 26 mins","OK","OK",""
"136",21201,"Cardinia",40655,40,1915470336,40606,47115.2462427746,2,"Vic","Melbourne","Cardinia, VIC, Australia","Melbourne VIC, Australia",75.13,"75.1 km",4149,69.15,1.15,"1 hour 9 mins","OK","OK",""
"137",21202,"Casey - North",66811,41,3215253868,40843,48124.6182215503,2,"Vic","Melbourne","90/92 Victor Cres, Narre Warren VIC 3805, Australia","Melbourne VIC, Australia",45.3,"45.3 km",2509,41.82,0.7,"42 mins","OK","OK",""
"138",21203,"Casey - South",67443,39,3047105046,41446,45180.449357235,2,"Vic","Melbourne","Casey, VIC, Australia","Melbourne VIC, Australia",52.45,"52.5 km",3074,51.23,0.85,"51 mins","OK","OK",""
